NU_MATRICULA,ANO_INGRESSO,SEMESTRE_INGRESSO,TIPO_INGRESSO,CAMPUS,COD_CURSO,CURSO,NATURALIDADE,UF_NATURALIDADE,PAIS_NATURALIDADE,BAIRRO_ENDERECO,CIDADE_ENDERECO,UF_ENDERECO,SEXO,DATA_NASC,COTA,TIPO_COTA,ESCOLARIDADE_PAI,ESCOLARIDADE_MAE,DEFICIENCIA
200980475,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,AGUAS BELAS,PE,BRA,SÃO SEBASTIÃO,AGUAS BELAS,PE,M,10/12/2002,N,A0,SUPERIOR INCOMPLETO,APERFEICOAMENTO,
200984286,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,ARAPIRACA,AL,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,08/08/1997,N,A0,SUPERIOR INCOMPLETO,ENSINO FUNDAMENTAL,
200982002,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,TANCREDO NEVES,BELO JARDIM,PE,F,02/10/2002,N,A0,SUPERIOR INCOMPLETO,SUPERIOR INCOMPLETO,
200981911,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,COHAB I,BELO JARDIM,PE,F,15/01/2003,N,A0,ENSINO FUNDAMENTAL,SUPERIOR INCOMPLETO,
200981809,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,COHAB I,BELO JARDIM,PE,M,06/10/2002,N,A0,SUPERIOR INCOMPLETO,SUPERIOR INCOMPLETO,
200985209,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,CENTRO,CUPIRA,PE,F,03/05/1999,S,L2,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,
200982133,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,13/01/2003,N,A0,SUPERIOR INCOMPLETO,ENSINO FUNDAMENTAL,
200981120,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,19/04/1998,N,A0,SUPERIOR INCOMPLETO,SUPERIOR INCOMPLETO,
200981649,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,26/04/1999,S,L2,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,
200980576,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BEZERROS,PE,BRA,CENTRO,BEZERROS,PE,F,03/10/1997,S,L5,SUPERIOR INCOMPLETO,ENSINO FUNDAMENTAL,
200981497,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BEZERROS,PE,BRA,CENTRO,BEZERROS,PE,M,17/03/1999,S,L1,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,
200980320,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BEZERROS,PE,BRA,CENTRO,BEZERROS,PE,M,21/06/2000,S,L1,SUPERIOR INCOMPLETO,ENSINO FUNDAMENTAL,
200979783,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BEZERROS,PE,BRA,CENTRO,BEZERROS,PE,M,25/07/2001,N,A0,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,
200983419,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BEZERROS,PE,BRA,VALE DO IPOJUCA,GRAVATA,PE,F,14/03/2001,N,A0,APERFEICOAMENTO,APERFEICOAMENTO,
200984934,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BONITO,PE,BRA,MUTIRÃO,CAMOCIM DE SAO FELIX,PE,F,25/10/2001,S,L1,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,
200981895,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,BOA VISTA,BELO JARDIM,PE,F,18/06/2002,N,A0,APERFEICOAMENTO,APERFEICOAMENTO,
